Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
BforeAI,https://www.crunchbase.com/organization/bfore-ai,Growing,34000,"BforeAI focuses in predictive attack intelligence and Digital Risk Protection Services (DRPS). Empowered by PreCrime™ technology featuring behavioral AI, we aim to transform cyber defense from reactive to proactive. Our solutions encompass automated threat intelligence, brand protection, adversary disruption, and domain takedowns. Recognized by Gartner in five reports and honored with awards like the FinTech Innovation Lab New York, Bfore.AI offers the industry's swiftest, most precise automated defense against online fraud.",,"Artificial Intelligence (AI), Cyber Security, Information Technology, Software","Montpellier, Languedoc-Roussillon, France","BforeAI predicts and prevents cyber threats by autonomously mapping malicious infrastructure, analyzing datasets, and detecting anomalies.","6,524",2020-11-24,day,,"Luciano Allegro, Luigi Lenguito, Sebastian Cesario",Private,"6,691",,2024-04-24,6,Early Stage Venture,15000000,USD,15000000,Series A,19356976,USD,19356976,15000000,USD,15000000,Series A,19356976,USD,19356976,"Google for Startups, TheVentureCity, Karma Ventures, Partnership Fund for New York City, SYN Ventures",10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.bfore.ai,https://linkedin.com/company/bforeai,info@bfore.ai,101-250
Cylib,https://www.crunchbase.com/organization/cylib-gmbh,Growing,,"Greentech startup cylib is on a mission to revolutionize how lithium-ion batteries are recycled in Europe, making the process more efficient and sustainable.",,"Battery, Chemical Engineering, CleanTech","Aachen, Nordrhein-Westfalen, Germany",Cylib is a start-up for holistic battery recycling,"6,537",2022-01-01,year,,,Private,"6,704",,2024-05-15,4,Early Stage Venture,55000000,EUR,59885912,Series A,66600000,EUR,71939011,55000000,EUR,59885912,Series A,66600000,EUR,71939011,"World Fund, Leblon Capital, Speedinvest, 10x Founders, Vsquared Ventures",16,"Energy, Science and Engineering, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.cylib.de/,https://www.linkedin.com/company/cylib/,info@cylib.de,11-50
deepc,https://www.crunchbase.com/organization/deepc,Growing,81671,"Our vision: We strive to enable immediate access to precise and safe diagnostics for every person in the world.  Building the Diagnostics OS - a cutting-edge web-based AI software framework, enabling medical professionals and AI companies to seamlessly integrate medical diagnostic AI and other digital products into the clinical workflow, such as in radiology - screening medical data in real-time, enhancing the diagnostic quality, and improving cost-efficiency. deepc was awarded the main prize by the Federal Ministry for Economic Affairs and Energy (BMWi) with both the Founder's Prize and the Special Prize in the field of healthcare",,"Artificial Intelligence (AI), Consulting, Health Care, Machine Learning, Medical, Medical Device, Software","Munich, Bayern, Germany",The AI Operating System for the Future of Radiology,"6,717",2019-01-01,year,,"Dr. Franz MJ Pfister, Julia Moosbauer, Michael Meyerhoff",Private,"6,891",,2024-07-25,4,Early Stage Venture,13000000,USD,13000000,Series A,26006621,USD,26006621,13000000,USD,13000000,Series A,26006621,USD,26006621,"Sofinnova Partners, VentureOut, KHP Ventures, Bertelsmann Investments, SwissHealth Ventures",7,"Artificial Intelligence (AI), Data and Analytics, Health Care, Professional Services, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.deepc.ai/,https://www.linkedin.com/company/deepchealth/,contact@deepc.ai,11-50
Multiverse Computing,https://www.crunchbase.com/organization/multiverse-computing,Growing,20014,"Multiverse Computing creates quantum computing software that uses probabilistic or nondeterministic technology to solve complicated real-world challenges. The company provides software tailored to the needs of portfolio optimization challenges, risk analysis, and market simulation, giving companies in a variety of industries, including banking, energy, manufacturing, and logistics, the opportunity to benefit from the second quantum revolution.",,"Machine Learning, Quantum Computing, Software","Donostia-san Sebastián, Pais Vasco, Spain",Multiverse Computing is a quantum software company that applies advanced solutions to solve complex challenges.,"6,771",2019-01-01,year,,"Alfonso Rubio Manzanares, Enrique Lizaso, Mehdi Bozzo-Rey, Román Orús, Samuel Mugel",Private,"6,945",,2024-03-05,7,Early Stage Venture,25000000,EUR,27139723,Series A,54707024,USD,54707024,25000000,EUR,27139723,Series A,46500000,EUR,51766169,"European Innovation Council, Innovate UK, Creative Destruction Lab (CDL), Redstone.VC, Inveready",21,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://multiversecomputing.com,https://www.linkedin.com/company/multiversecomputing,contact@multiversecomputing.com,51-100
Goodstack,https://www.crunchbase.com/organization/goodstack,,,,,"Charity, FinTech, SaaS","London, England, United Kingdom",Goodstack is a SaaS and fintech platform for managing charitable donations.,"6,858",2015-01-01,year,,,Private,"7,047",,2024-11-18,1,Early Stage Venture,28000000,USD,28000000,Series A,28000000,USD,28000000,28000000,USD,28000000,Series A,28000000,USD,28000000,"General Catalyst, Morpheus Ventures, Jigsaw VC",3,"Financial Services, Other, Social Impact, Software",,"Europe, Middle East, and Africa (EMEA)",https://goodstack.io/,https://www.linkedin.com/company/percent,,51-100
Neotaste,https://www.crunchbase.com/organization/neotaste,Growing,49090,"Neotaste is the developer of a restaurant-finding software that helps people find restaurants in their city. The company provides a free marketing platform for restaurateurs that allows customers to find discounts at local restaurants and view, book, and redeem them.",,"Apps, Internet, Search Engine, Software","Osnabrück, Niedersachsen, Germany",Neotaste is the developer of the restaurant-finding app that provides free marketing services for restaurateurs.,"6,981",2021-01-01,year,,Hendrik Sander,Private,"7,162",,2024-03-14,2,Early Stage Venture,15100000,EUR,16433103,Series A,21000000,EUR,22912305,15100000,EUR,16433103,Series A,21000000,EUR,22912305,"Earlybird Venture Capital, Burda Principal Investments, Kajetan Uhlig, Niklas Plath, Christopher Huesmann",5,"Apps, Internet Services, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://neotaste.app,https://www.linkedin.com/company/neotaste,info@neotaste.app,11-50
Battolyser Systems,https://www.crunchbase.com/organization/battolyser,Growing,,"Battolyser Systems aims to stimulate the development, production, and commercialization of battolyser technology and is looking for skilled and highly motivated people to join the team. The Company was founded in 2018  by dr. prof Fokko Mulder (Technical University of Delft) together with Kees Koolen (former CEO of Booking.com and former COO of Uber) and is led by CEO Mattijs Slee (previously Shell Hydrogen). The company has a unique patented technology that has the lowest production cost for green hydrogen in the market and does not require scarce materials.",,"Battery, Clean Energy, CleanTech, Energy, Energy Efficiency, Energy Management, Power Grid","Schiedam, Zuid-Holland, The Netherlands",Battolyser is an integrated battery and electrolyser system producing green hydrogen at low costs without using scarce materials,"7,013",2021-01-05,day,,Fokko Mulder,Private,"7,207",,2024-09-12,3,Early Stage Venture,30000000,EUR,33047291,Series A,70000000,EUR,75541578,30000000,EUR,33047291,Series A,30000000,EUR,33047291,"European Investment Bank, Innovation Industries, Invest-NL, Global Cleantech Capital",4,"Energy, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.battolysersystems.com,https://www.linkedin.com/company/battolysersystems,Info@battolysersystems.com,51-100
Sona,https://www.crunchbase.com/organization/sona-905e,,,"Sona is a developer of a workforce management application for various industries. Its workforce technology is designed to change how employees manage their work and interact with their employers. Its features include a live schedule view, absence management, instant messaging, and Open Shifts, a shift booking platform matching shift vacancies with employees willing to take on more hours.",,"Apps, Employment, Enterprise Software, Human Resources, Productivity Tools","London, England, United Kingdom","Sona is a workforce management platform for frontline enterprises like care homes, restaurants, and hotels.","7,044",2021-01-01,year,,"Ben Dixon, Oli Johnson, Steffen Wulff Petersen",Private,"7,228",,2024-05-14,3,Early Stage Venture,27500000,USD,27500000,Series A,36500000,USD,36500000,27500000,USD,27500000,Series A,36500000,USD,36500000,"Antler, Leblon Capital, Speedinvest, Gradient, Felicis",17,"Administrative Services, Apps, Professional Services, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.getsona.com,https://www.linkedin.com/company/sonaforwork,hello@getsona.com,51-100
Payflows,https://www.crunchbase.com/organization/payflows,Growing,,"Payflows is a FinTech company that develops a SaaS platform that integrates finance teams and workflows for accounts payable, accounts receivable, customers, suppliers, payments, and cashflows. Its platform uses artificial intelligence to automate data gathering, reporting, benchmarking, and order execution tasks to help businesses reduce costs and streamline operational cashflows.",,"Financial Services, FinTech, Payments, SaaS","Paris, Ile-de-France, France",Payflows is a FinTech company that develops a SaaS platform for finance teams.,"7,046",2022-04-01,month,,"Joseph Assouline, Pauline Glikman",Private,"7,242",,2024-04-22,2,Early Stage Venture,25000000,EUR,26637344,Series A,32137344,USD,32137344,25000000,EUR,26637344,Series A,32137344,USD,32137344,"Headline, The Twenty Minute VC, Ribbit Capital, Motier Ventures, Balderton Capital",8,"Financial Services, Payments, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.payflows.io/,https://www.linkedin.com/company/payflows-io/,legal@payflows.io,11-50
Nory AI,https://www.crunchbase.com/organization/skueeze,Growing,,"Nory is an operating system designed to help restaurant groups streamline operations and boost profitability.  The company's AI-powered platform offers features like business intelligence, inventory management, workforce management, and payroll.",,"Artificial Intelligence (AI), Hospitality, Information Technology, Restaurants","Dublin, Dublin, Ireland","Nory is a restaurant management platform with features like AI-powered business intelligence, inventory control, and employee management.","7,070",2020-01-01,year,,Conor Sheridan,Private,"7,268",,2024-05-22,6,Early Stage Venture,14720000,EUR,15933788,Series A,25653296,USD,25653296,14720000,EUR,15933788,Series A,25653296,USD,25653296,"Accel, Triple Point Ventures, Enterprise Ireland, Playfair Capital, Samaipata",10,"Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Information Technology, Science and Engineering, Software, Travel and Tourism",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://nory.ai,https://www.linkedin.com/company/asknory,info@nory.ai,11-50
Again,https://www.crunchbase.com/organization/secondcircle,,,"Again is a carbon utilization company that focuses on transforming carbon emissions into valuable chemicals. Again employs innovative technologies to capture carbon dioxide (CO2) emissions from industrial sources and convert them into commercially valuable materials. Again's mission is to mitigate climate change by capturing and repurposing carbon emissions, transforming them into useful products, and fostering sustainable industrial practices.",,"Biotechnology, Chemical, Industrial Manufacturing, Manufacturing","Copenhagen, Hovedstaden, Denmark",Again is a carbon utilization company that focuses on transforming carbon emissions into valuable chemicals.,"7,183",2020-01-01,year,,"Alex Toftgaard Nielsen, Max Kufner, Torbjørn Ølshøj Jensen",Private,"7,371",,2024-07-17,4,Early Stage Venture,39400000,EUR,42969334,Series A,98652367,USD,98652367,39400000,EUR,42969334,Series A,54361282,USD,54361282,"Google Ventures, CSC Leasing, ACME Capital, KOMPAS VC, Export and Investment Fund",8,"Biotechnology, Manufacturing, Science and Engineering",,"European Union (EU), Nordic Countries, Scandinavia",https://again.bio,https://www.linkedin.com/company/againbio/,mk@secondcircle.bio,11-50
